season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2021,75566,이원석,삼성,SS,6,3루수,103,103,742,4,0,43,129,16,0.977,0,0,0,
2021,61404,김헌곤,삼성,SS,7,좌익수,93,61,569,1,0,130,6,1,0.993,0,0,0,
2021,50458,김지찬,삼성,SS,8,유격수,90,73,599 1/3,15,0,90,172,34,0.946,0,0,0,
2021,64610,강한울,삼성,SS,9,3루수,82,30,365,7,0,27,63,6,0.928,0,0,0,
2021,75421,오승환,삼성,SS,10,투수,64,0,62,1,0,1,5,0,0.857,0,0,0,
2021,69453,이학주,삼성,SS,10,유격수,64,46,401 2/3,11,0,81,131,24,0.951,0,0,0,
2021,73117,우규민,삼성,SS,12,투수,60,0,49,1,0,1,6,0,0.875,0,0,0,
2021,67421,최지광,삼성,SS,12,투수,60,0,51 1/3,0,0,6,4,0,1.0,0,0,0,
2021,61411,심창민,삼성,SS,14,투수,59,0,51 1/3,0,0,1,1,0,1.0,0,0,0,
2021,64793,김민수,삼성,SS,15,포수,46,19,201 1/3,3,0,176,13,1,0.984,1,13,6,31.6
2021,51454,이승현,삼성,SS,16,투수,41,0,39 1/3,0,0,2,6,0,1.0,0,0,0,
2021,77927,장필준,삼성,SS,16,투수,41,0,34 2/3,0,0,1,2,0,1.0,0,0,0,
2021,51463,피렐라,삼성,SS,18,좌익수,38,37,295 1/3,0,0,61,2,1,1.0,0,0,0,
2021,66838,김동엽,삼성,SS,19,좌익수,36,25,193 2/3,1,0,39,1,0,0.976,0,0,0,
2021,64407,김호재,삼성,SS,21,1루수,35,8,109 2/3,1,0,88,8,5,0.99,0,0,0,
2021,61365,김대우,삼성,SS,22,투수,31,5,51,0,0,4,3,0,1.0,0,0,0,
2021,50404,뷰캐넌,삼성,SS,23,투수,30,30,177,0,0,14,20,3,1.0,0,0,0,
2021,63960,이상민,삼성,SS,23,투수,30,0,24 2/3,0,0,2,3,0,1.0,0,0,0,
2021,77446,백정현,삼성,SS,25,투수,27,27,157 2/3,1,1,3,29,3,0.97,0,0,0,
2021,61457,임현준,삼성,SS,25,투수,27,0,11,0,0,2,2,0,1.0,0,0,0,
2021,69446,원태인,삼성,SS,28,투수,26,26,158 2/3,3,3,7,26,3,0.917,0,0,0,
2021,68419,최지명,삼성,SS,28,투수,26,20,122 1/3,0,2,9,23,2,1.0,0,0,0,
2021,69442,김도환,삼성,SS,30,포수,25,13,113 2/3,1,0,88,3,1,0.989,1,5,0,0.0
2021,67419,문용익,삼성,SS,33,투수,22,0,22,0,0,2,2,0,1.0,0,0,0,
2021,69418,박승규,삼성,SS,33,중견수,22,4,62 1/3,0,0,24,0,0,1.0,0,0,0,
2021,78756,오선진,삼성,SS,35,유격수,21,10,111,2,0,20,22,4,0.955,0,0,0,
2021,60146,이승현,삼성,SS,35,투수,21,0,17,0,0,0,1,0,1.0,0,0,0,
2021,61197,최영진,삼성,SS,35,1루수,21,4,59 2/3,0,0,53,7,4,1.0,0,0,0,
2021,63435,김성표,삼성,SS,38,중견수,20,3,65 1/3,1,0,17,0,0,0.944,0,0,0,
2021,68403,김무신,삼성,SS,38,투수,20,1,19,0,0,1,2,0,1.0,0,0,0,
2021,62920,노건우,삼성,SS,45,투수,16,0,19,0,0,1,1,0,1.0,0,0,0,
2021,65496,홍정우,삼성,SS,46,투수,15,0,15 2/3,0,0,1,2,1,1.0,0,0,0,
2021,64469,송준석,삼성,SS,47,좌익수,13,12,90,0,0,24,0,0,1.0,0,0,0,
2021,51439,몽고메리,삼성,SS,49,투수,11,11,52,0,0,1,8,0,1.0,0,0,0,
2021,50464,이승민,삼성,SS,49,투수,11,11,35 2/3,0,0,2,8,1,1.0,0,0,0,
