season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2015,74857,정우람,SSG,SK,3,3.21,69,7,5,16,11,0.583,70,52,3,28,1,90,25,25,1.14,0,0,0,5,287,1155,0.207,12,0,4,3,5,3,0,0,0,7,36,33,1,3,50,62,0.81,0.304,16.7,16.5,11.57,3.6,3.21,0.286,0.291,0.577
2015,77829,김광현,SSG,SK,4,3.72,30,14,6,0,1,0.7,176 2/3,173,19,66,3,160,86,73,1.35,1,1,16,0,754,2896,0.257,33,0,11,2,2,10,0,29,14,0,1,1,0,18,216,125,1.73,0.311,96.5,16.4,8.15,3.36,2.42,0.326,0.391,0.717
2015,76822,이한진,SSG,SK,5,3.86,3,0,0,0,0,,4 2/3,4,0,5,0,1,3,2,1.93,0,0,0,0,24,81,0.222,0,0,0,1,0,0,0,0,0,0,2,0,0,0,8,6,1.33,0.222,27.0,17.4,1.93,9.64,0.2,0.375,0.222,0.597
2015,75138,신재웅,SSG,SK,6,4.11,61,0,1,0,9,0.0,50 1/3,72,5,17,4,49,28,23,1.77,0,0,0,0,236,912,0.34,15,2,3,0,0,0,0,0,0,0,9,12,0,4,46,45,1.02,0.424,15.0,18.1,8.76,3.04,2.88,0.399,0.5,0.899
2015,65856,켈리,SSG,SK,7,4.13,30,11,10,0,0,0.524,181,188,16,54,5,139,87,83,1.34,1,0,17,0,775,2878,0.27,28,1,15,4,1,9,2,29,10,1,1,0,0,19,225,149,1.51,0.315,95.9,15.9,6.91,2.69,2.57,0.325,0.382,0.707
2015,64893,박민호,SSG,SK,8,4.28,20,1,1,0,1,0.5,27 1/3,26,4,9,2,12,18,13,1.28,0,0,0,0,116,433,0.25,4,0,0,1,0,0,0,0,0,1,9,1,0,3,35,32,1.09,0.247,21.7,15.8,3.95,2.96,1.33,0.319,0.404,0.723
2015,75340,전유수,SSG,SK,9,4.4,66,3,6,1,5,0.333,77 2/3,66,9,42,5,84,39,38,1.39,0,0,0,0,337,1463,0.233,12,1,2,5,5,2,0,0,0,3,9,10,0,3,65,73,0.89,0.292,22.2,18.8,9.73,4.87,2.0,0.337,0.378,0.715
2015,67845,밴와트,SSG,SK,10,4.63,12,5,3,0,0,0.625,56 1/3,70,5,13,2,50,29,29,1.47,0,0,3,0,245,1007,0.31,15,1,2,2,0,2,1,12,5,0,0,0,0,5,45,63,0.71,0.376,83.9,17.9,7.99,2.08,3.85,0.35,0.451,0.801
2015,72216,이재영,SSG,SK,11,4.65,26,1,0,0,1,1.0,31,36,4,13,3,26,18,16,1.58,0,0,0,0,145,523,0.283,12,1,1,1,0,1,0,0,0,1,10,1,0,0,28,38,0.74,0.327,20.1,16.9,7.55,3.77,2.0,0.361,0.488,0.849
2015,78819,백청훈,SSG,SK,12,4.79,7,1,2,0,0,0.333,20 2/3,24,2,11,2,14,13,11,1.69,0,0,0,0,94,390,0.296,4,0,0,0,0,4,1,4,1,0,1,0,0,0,11,32,0.34,0.338,55.7,18.9,6.1,4.79,1.27,0.394,0.42,0.814
2015,63810,세든,SSG,SK,13,4.99,14,7,5,0,0,0.583,74,77,12,28,5,67,42,41,1.42,1,1,8,0,319,1232,0.278,15,0,8,1,0,6,0,14,7,0,1,0,0,7,62,72,0.86,0.327,88.0,16.6,8.15,3.41,2.39,0.354,0.462,0.816
2015,60841,박종훈,SSG,SK,14,5.19,33,6,8,0,0,0.429,118,123,7,53,17,105,74,68,1.49,0,0,7,0,530,2136,0.273,27,0,7,3,1,5,0,23,6,0,5,0,0,9,133,92,1.45,0.34,64.7,18.1,8.01,4.04,1.98,0.369,0.38,0.749
2015,75250,박정배,SSG,SK,15,5.33,24,2,2,0,2,0.5,25 1/3,25,3,13,2,28,15,15,1.5,0,0,0,0,115,463,0.258,3,2,2,1,3,1,0,0,0,2,5,4,0,0,24,21,1.14,0.328,19.3,18.3,9.95,4.62,2.15,0.354,0.423,0.777
2015,76858,박희수,SSG,SK,16,5.4,14,0,0,0,2,,10,13,3,8,1,12,6,6,2.1,0,0,0,1,51,185,0.31,2,0,0,0,0,0,0,1,0,0,3,3,0,1,10,7,1.43,0.37,13.2,18.5,10.8,7.2,1.5,0.431,0.571,1.002
2015,74838,윤희상,SSG,SK,17,5.88,21,5,9,0,0,0.357,93 1/3,113,15,34,3,67,65,61,1.58,0,0,6,0,415,1538,0.305,24,3,6,2,2,2,0,21,5,0,0,0,0,13,106,86,1.23,0.338,73.2,16.5,6.46,3.28,1.97,0.367,0.508,0.875
2015,61895,서진용,SSG,SK,18,5.91,18,0,0,0,0,,21 1/3,25,4,6,0,24,14,14,1.45,0,0,0,0,95,373,0.287,7,0,2,0,2,3,0,0,0,0,8,0,0,1,18,20,0.9,0.356,20.7,17.5,10.13,2.53,4.0,0.333,0.506,0.839
2015,77854,이창욱,SSG,SK,19,6.0,2,0,0,0,0,,3,2,0,2,0,1,2,2,1.33,0,0,0,0,13,52,0.182,0,0,0,0,0,2,0,0,0,0,2,0,0,0,7,1,7.0,0.2,26.0,17.3,3.0,6.0,0.5,0.308,0.182,0.49
2015,71845,채병용,SSG,SK,20,6.07,33,4,4,0,1,0.5,83,103,17,27,3,78,56,56,1.57,0,0,0,0,367,1487,0.309,17,2,3,1,1,4,0,8,2,2,5,1,0,3,60,93,0.65,0.36,45.1,17.9,8.46,2.93,2.89,0.365,0.526,0.891
2015,72523,고효준,SSG,SK,21,6.18,30,0,3,0,0,0.0,51,61,8,31,4,43,37,35,1.8,0,0,0,0,246,992,0.296,13,0,2,3,0,4,0,2,0,0,10,0,0,4,53,52,1.02,0.335,33.1,19.5,7.59,5.47,1.39,0.393,0.476,0.869
2015,60845,문광은,SSG,SK,22,6.85,53,1,5,1,11,0.167,64 1/3,87,13,27,4,54,55,49,1.77,0,0,0,1,304,1249,0.332,22,0,5,6,5,10,0,1,0,1,6,13,0,6,63,64,0.98,0.368,23.6,19.4,7.55,3.78,2.0,0.395,0.565,0.96
2015,79847,김태훈,SSG,SK,23,27.0,1,0,0,0,0,,1/3,0,0,1,0,0,1,1,3.0,0,0,0,0,2,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,10.0,30.0,0.0,27.0,0.0,0.5,0.0,0.5
2015,95657,임창용,삼성,SS,1,2.83,55,5,2,33,0,0.714,54,45,2,13,3,71,17,17,1.07,0,0,0,5,219,858,0.227,8,1,3,2,2,1,0,0,0,5,50,38,2,4,47,37,1.27,0.339,15.6,15.9,11.83,2.17,5.46,0.282,0.308,0.59
2015,74630,박근홍,삼성,SS,2,2.96,66,2,2,0,8,0.5,48 2/3,39,3,24,6,55,20,16,1.29,0,0,0,1,212,911,0.223,8,0,5,2,0,5,0,0,0,2,12,12,0,4,36,47,0.77,0.303,13.8,18.7,10.17,4.44,2.29,0.333,0.32,0.653
2015,75268,조현근,삼성,SS,3,3.26,22,0,0,0,1,,19 1/3,18,1,7,1,11,10,7,1.29,0,0,0,0,81,334,0.254,3,0,0,2,0,0,0,0,0,0,13,0,0,3,25,19,1.32,0.279,15.2,17.3,5.12,3.26,1.57,0.321,0.338,0.659
2015,72463,안지만,삼성,SS,4,3.33,66,4,3,0,37,0.571,78 1/3,76,8,26,2,96,29,29,1.3,0,0,0,4,323,1278,0.266,18,2,5,4,2,2,0,0,0,4,8,40,0,6,53,65,0.82,0.366,19.4,16.3,11.03,2.99,3.69,0.327,0.427,0.754
