season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2018,66858,정동윤,SSG,SK,4,3.38,2,0,0,0,0,,2 2/3,3,1,1,0,3,1,1,1.5,0,0,0,0,11,40,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0.33,0.333,20.0,15.0,10.13,3.38,3.0,0.364,0.6,0.964
2018,79847,김태훈,SSG,SK,5,3.83,61,9,3,0,10,0.75,94,88,8,36,2,93,44,40,1.32,0,0,2,2,394,1455,0.251,17,0,4,1,4,11,0,4,2,7,6,15,0,13,113,58,1.95,0.319,23.9,15.5,8.9,3.45,2.58,0.323,0.368,0.691
2018,65856,켈리,SSG,SK,6,4.09,28,12,7,0,0,0.632,158 1/3,152,18,47,13,161,78,72,1.26,0,0,13,0,674,2497,0.25,28,3,2,4,1,5,2,28,12,0,0,0,0,9,156,143,1.09,0.309,89.2,15.8,9.15,2.67,3.43,0.315,0.395,0.71
2018,60841,박종훈,SSG,SK,7,4.18,30,14,8,0,0,0.636,159 1/3,158,16,54,20,133,81,74,1.33,0,0,10,0,702,2701,0.254,31,3,3,4,0,3,0,30,14,0,0,0,0,13,172,162,1.06,0.298,90.0,17.0,7.51,3.05,2.46,0.332,0.391,0.723
2018,64805,이승진,SSG,SK,8,4.57,34,0,1,0,0,0.0,41 1/3,41,6,20,4,37,25,21,1.48,0,0,0,0,189,759,0.25,6,0,0,1,1,6,0,2,0,0,12,0,0,2,43,44,0.98,0.287,22.3,18.4,8.06,4.35,1.85,0.344,0.396,0.74
2018,62869,문승원,SSG,SK,9,4.6,31,8,9,1,1,0.471,150 2/3,180,24,37,4,122,86,77,1.44,0,0,9,0,656,2509,0.296,33,2,5,2,0,4,0,27,8,0,3,2,0,16,141,167,0.84,0.336,80.9,16.7,7.29,2.21,3.3,0.339,0.475,0.814
2018,71845,채병용,SSG,SK,10,4.8,29,2,1,1,3,0.667,30,33,8,8,1,15,16,16,1.37,0,0,0,1,128,442,0.28,5,0,0,1,0,0,0,0,0,2,7,3,1,3,24,47,0.51,0.26,15.2,14.7,4.5,2.4,1.88,0.328,0.525,0.853
2018,68815,산체스,SSG,SK,11,4.89,29,8,8,0,1,0.5,145 1/3,161,26,39,7,124,90,79,1.38,0,0,14,1,632,2467,0.277,21,3,4,0,1,12,0,26,8,0,0,1,0,9,163,134,1.22,0.313,85.1,17.0,7.68,2.42,3.18,0.33,0.457,0.787
2018,74838,윤희상,SSG,SK,12,5.12,46,1,2,1,7,0.333,51,55,8,7,2,44,29,29,1.22,0,0,0,1,211,815,0.274,5,1,1,0,1,1,0,1,0,1,15,12,0,8,62,40,1.55,0.315,17.7,16.0,7.76,1.24,6.29,0.305,0.428,0.733
2018,67840,남윤성,SSG,SK,13,5.19,6,0,1,0,0,0.0,8 2/3,12,1,4,0,3,5,5,1.85,0,0,0,0,40,148,0.343,1,0,1,0,0,0,0,0,0,0,3,0,0,1,9,11,0.82,0.355,24.7,17.1,3.12,4.15,0.75,0.41,0.457,0.867
2018,62056,정영일,SSG,SK,14,5.32,51,3,0,0,13,1.0,44,48,7,21,5,33,33,26,1.57,0,0,0,1,205,821,0.27,10,0,0,1,1,4,0,0,0,3,5,14,0,3,57,41,1.39,0.295,16.1,18.7,6.75,4.3,1.57,0.361,0.444,0.805
2018,75340,전유수,SSG,SK,15,5.5,16,0,1,0,0,0.0,18,21,3,8,2,15,11,11,1.61,0,0,0,0,81,360,0.3,5,0,1,0,0,0,0,0,0,0,7,0,0,4,20,14,1.43,0.346,22.5,20.0,7.5,4.0,1.88,0.388,0.5,0.888
2018,75250,박정배,SSG,SK,16,5.84,49,1,3,9,2,0.25,44 2/3,51,9,12,2,44,30,29,1.41,0,0,0,5,197,723,0.282,15,0,1,1,2,1,0,0,0,1,22,19,0,3,47,40,1.18,0.326,14.8,16.2,8.87,2.42,3.67,0.332,0.514,0.846
2018,61895,서진용,SSG,SK,17,6.12,48,3,2,1,12,0.6,50,52,14,23,2,58,36,34,1.5,0,0,0,0,225,920,0.267,8,2,4,1,3,4,0,0,0,3,9,12,0,1,33,53,0.62,0.306,19.2,18.4,10.44,4.14,2.52,0.348,0.544,0.892
2018,65802,봉민호,SSG,SK,18,6.75,1,0,0,0,0,,1 1/3,1,1,0,0,2,1,1,0.75,0,0,0,0,5,20,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.0,0.0,20.0,15.0,13.5,0.0,,0.2,0.8,1.0
