season_year,player_name,team_name,babip,bb_rate,k_rate,bb_k,iso,ab_per_hr,rc,rc27,wrc,spd,wsb,woba,wraa,war
2021,유한준,KT,0.332,13.1,10.1,1.29,0.109,56.4,49.75,6.37,54.51,1.49,0.15,0.381,13.07,1.86
2021,김태연,한화,0.373,15.4,20.0,0.77,0.119,58.67,34.73,6.95,37.85,3.56,-0.42,0.392,10.8,1.83
2021,유강남,LG,0.284,5.7,17.0,0.33,0.123,36.09,47.26,4.08,45.7,2.71,0.35,0.317,-8.53,1.69
2021,김성현,SSG,0.296,10.6,10.6,1.0,0.139,39.5,36.42,5.26,37.52,2.95,0.5,0.353,3.82,1.68
2021,오지환,LG,0.29,10.2,15.4,0.66,0.097,58.0,57.16,4.15,57.3,4.28,-0.43,0.321,-8.13,1.63
2021,최지훈,SSG,0.297,9.6,13.3,0.72,0.1,92.2,64.17,4.73,60.73,7.53,2.36,0.328,-4.94,1.58
2021,김인태,두산,0.298,14.8,16.3,0.91,0.119,43.0,51.71,5.06,57.54,2.2,-0.98,0.354,6.14,1.58
2021,이재원,SSG,0.327,9.3,15.0,0.62,0.082,90.33,33.12,4.08,36.86,0.72,-0.96,0.332,-1.63,1.53
2021,이명기,NC,0.333,15.9,11.6,1.37,0.094,95.5,33.97,6.41,37.47,4.37,-0.22,0.38,8.94,1.51
2021,박석민,NC,0.283,13.2,21.0,0.63,0.223,17.1,29.18,5.63,32.07,0.57,-0.02,0.375,6.86,1.48
2021,권희동,NC,0.26,17.0,14.0,1.21,0.203,16.63,28.11,7.16,30.29,2.97,0.37,0.397,9.26,1.46
2021,서건창,키움,0.292,13.5,13.2,1.02,0.094,69.5,38.47,4.66,42.37,3.93,-0.69,0.343,1.42,1.42
2021,심우준,KT,0.301,7.0,14.1,0.49,0.103,67.83,53.07,4.45,47.84,6.42,0.38,0.317,-8.73,1.41
2021,김병희,KT,0.313,18.6,21.4,0.87,0.347,10.4,17.61,12.19,17.51,6.28,0.59,0.477,8.9,1.31
2021,송우현,키움,0.357,9.9,17.4,0.57,0.12,83.33,39.75,5.86,40.22,4.14,-0.3,0.36,5.54,1.23
2021,류지혁,KIA,0.325,12.8,14.1,0.91,0.052,136.5,38.13,4.93,42.41,2.19,-0.05,0.345,2.2,1.17
2021,허경민,두산,0.29,7.0,6.8,1.03,0.087,93.6,53.09,3.85,57.4,2.73,-2.29,0.325,-6.3,1.14
2021,로맥,SSG,0.234,14.0,19.5,0.72,0.2,17.75,53.97,5.08,55.65,2.48,0.15,0.348,3.88,1.12
2021,김민혁,KT,0.372,10.1,13.1,0.77,0.075,172.0,28.34,5.98,30.43,5.4,-0.21,0.371,5.96,1.06
2021,지시완,롯데,0.314,7.5,28.9,0.26,0.181,23.71,21.53,4.34,22.43,1.43,-0.02,0.335,-0.57,1.05
2021,안중열,롯데,0.265,17.2,15.9,1.08,0.112,41.67,18.74,5.01,20.35,2.94,-0.02,0.345,1.05,1.04
2021,이대호,롯데,0.282,7.3,10.5,0.69,0.162,22.11,63.54,5.39,62.34,1.24,-0.05,0.35,5.15,1.02
2021,김웅빈,키움,0.323,12.2,26.2,0.47,0.143,38.67,35.29,5.21,35.9,3.7,-0.29,0.344,1.59,1.02
2021,조수행,두산,0.404,15.4,25.0,0.61,0.083,84.0,17.31,7.08,16.8,11.02,2.33,0.38,4.01,1.01
2021,이원석,삼성,0.261,12.5,16.7,0.75,0.115,44.33,51.65,4.25,52.69,2.12,0.14,0.324,-6.34,1.01
2021,박찬호,KIA,0.294,11.2,15.1,0.74,0.067,418.0,45.87,3.63,45.67,5.16,-0.11,0.307,-13.73,0.92
2021,박민우,NC,0.291,10.2,10.7,0.96,0.078,180.0,25.1,4.64,25.57,7.45,0.98,0.334,-0.87,0.87
2021,김강민,SSG,0.271,9.6,20.0,0.48,0.17,27.88,31.15,4.62,30.65,5.49,-0.81,0.332,-1.33,0.81
2021,장승현,두산,0.31,9.0,23.7,0.38,0.09,88.5,21.23,3.95,21.17,2.77,-0.02,0.313,-4.78,0.74
2021,정수빈,두산,0.299,8.3,14.2,0.58,0.115,104.33,37.91,4.08,37.6,6.49,-0.87,0.321,-5.57,0.72
2021,김태군,NC,0.222,7.6,10.9,0.7,0.121,33.14,26.59,3.63,25.69,2.6,-0.49,0.305,-8.26,0.72
2021,김민식,KIA,0.259,13.6,16.3,0.84,0.068,83.33,28.41,3.78,27.89,2.94,-0.04,0.305,-9.13,0.71
2021,허도환,KT,0.36,6.4,22.4,0.29,0.114,52.5,14.05,4.26,15.05,1.12,-0.01,0.335,-0.32,0.7
2021,김지찬,삼성,0.3,8.0,9.2,0.87,0.03,296.0,35.99,4.19,30.23,6.93,2.7,0.302,-11.09,0.7
2021,오윤석,KT,0.328,16.4,21.3,0.77,0.105,47.5,15.64,5.41,17.88,3.27,0.38,0.364,2.87,0.67
2021,권동진,KT,0.444,20.9,34.9,0.6,0.119,67.0,11.82,5.91,13.88,6.19,-0.8,0.38,3.3,0.66
2021,김헌곤,삼성,0.313,9.3,12.6,0.74,0.075,79.25,41.29,4.48,43.09,3.79,-0.89,0.333,-1.68,0.63
2021,김재유,롯데,0.358,5.2,18.8,0.28,0.064,174.0,23.09,4.83,20.87,6.05,1.37,0.322,-2.74,0.6
2021,김주원,NC,0.33,9.0,30.2,0.3,0.145,33.2,20.47,4.03,20.04,4.23,0.26,0.319,-3.2,0.6
2021,추재현,롯데,0.305,8.7,19.0,0.46,0.114,52.4,33.87,4.42,34.04,4.35,-0.62,0.328,-2.86,0.58
2021,박병호,키움,0.286,9.8,29.6,0.33,0.203,20.45,59.02,4.79,57.82,1.78,-0.51,0.336,-0.84,0.55
2021,이현석,SSG,0.354,5.6,32.6,0.17,0.215,19.75,12.27,5.26,10.93,2.5,-0.01,0.338,-0.02,0.54
2021,한승택,KIA,0.295,11.7,25.5,0.46,0.079,67.67,20.33,3.25,20.91,1.15,-0.03,0.299,-8.48,0.54
