season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2025,79192,채은성,한화,HH,7,0.288,132,527,480,54,138,27,1,19,224,88,3,0,31,5,13,96,4,0.467,0.347,0.814,39,0.333,0.0,47,117,129,0.91,10,0.32,3.72,0.179,74.5,0.273
2025,78288,최재훈,한화,HH,8,0.286,121,348,269,28,77,15,0,1,95,35,10,6,46,0,17,48,4,0.353,0.414,0.767,16,0.355,0.0,16,85,65,1.31,4,0.96,4.14,0.067,47.5,0.275
2025,66657,이진영,한화,HH,9,0.274,115,366,321,49,88,13,0,11,134,43,0,5,38,0,2,93,8,0.417,0.35,0.767,19,0.239,0.25,24,80,65,1.23,2,0.41,3.95,0.143,46.9,0.262
2025,54795,황영묵,한화,HH,10,0.273,117,286,260,40,71,17,1,1,93,22,2,1,20,0,2,37,4,0.358,0.329,0.687,18,0.3,0.455,19,96,57,1.68,4,0.54,3.64,0.085,29.1,0.238
2025,55734,플로리얼,한화,HH,11,0.271,65,285,258,36,70,18,2,8,116,29,0,2,24,2,1,65,2,0.45,0.333,0.783,21,0.222,0.0,28,56,69,0.81,3,0.37,3.86,0.178,39.8,0.262
2025,66704,김태연,한화,HH,12,0.261,120,340,303,40,79,15,0,3,103,20,6,0,23,0,8,62,10,0.34,0.329,0.669,19,0.197,0.067,18,72,90,0.8,1,0.37,3.74,0.079,32.0,0.233
2025,65703,이도윤,한화,HH,13,0.26,113,277,250,37,65,11,3,1,85,36,10,3,11,1,3,52,5,0.34,0.296,0.636,13,0.25,0.4,15,72,64,1.13,3,0.21,3.85,0.08,24.9,0.218
2025,69737,노시환,한화,HH,14,0.26,144,624,539,97,140,28,2,32,268,101,0,4,70,10,11,125,22,0.497,0.354,0.851,37,0.29,0.0,62,121,157,0.77,16,0.56,3.94,0.237,91.3,0.284
2025,50707,최인호,한화,HH,15,0.259,78,159,139,7,36,9,0,2,51,19,1,1,13,0,5,29,5,0.367,0.342,0.709,6,0.3,0.308,11,38,37,1.03,2,0.45,4.16,0.108,17.2,0.246
2025,64006,심우준,한화,HH,16,0.231,94,275,247,39,57,9,1,2,74,22,7,1,17,0,3,49,4,0.3,0.287,0.587,9,0.25,0.0,12,69,73,0.95,2,0.35,3.94,0.069,23.0,0.204
2025,68700,이원석,한화,HH,17,0.203,129,248,212,60,43,7,0,4,62,24,7,2,23,0,4,51,4,0.292,0.29,0.582,11,0.149,0.5,11,55,65,0.85,6,0.45,3.77,0.09,22.9,0.204
2025,52704,이상혁,한화,HH,18,0.2,39,12,10,14,2,1,0,0,3,2,1,0,0,0,1,3,0,0.3,0.273,0.573,0,0.25,0.0,1,2,3,0.67,0,0.0,3.17,0.1,0.1,0.198
2025,76812,이재원,한화,HH,18,0.2,98,151,125,4,25,2,1,1,32,12,8,3,14,0,1,23,3,0.256,0.28,0.536,3,0.162,0.0,4,46,34,1.35,0,0.61,3.46,0.056,10.5,0.19
