season_year,player_name,team_name,hr9,lob_rate,fip,kfip,fip_war,ra9_war,k_rate,bb_rate,avg_against,obp_against,slg_against,ops_against
2021,이승현(20),삼성,3.18,67.6,8.51,8.92,-0.21,0.02,8.1,9.3,0.385,0.442,0.705,1.147
2021,유희관,두산,1.43,64.2,5.95,6.31,-0.21,-0.43,7.3,7.6,0.384,0.431,0.563,0.994
2021,김민규,두산,1.44,67.1,5.73,5.89,-0.21,0.01,14.9,10.7,0.282,0.366,0.445,0.811
2021,서동민,SSG,1.71,78.9,6.03,6.07,-0.22,0.11,20.3,14.4,0.273,0.385,0.485,0.869
2021,정인욱,한화,1.93,75.8,8.05,8.57,-0.23,-0.05,13.6,22.7,0.176,0.364,0.382,0.746
2021,이형범,두산,0.0,75.0,8.58,9.7,-0.23,-0.06,12.5,31.2,0.2,0.5,0.2,0.7
2021,남지민,한화,1.23,73.9,8.38,9.3,-0.24,-0.02,7.3,17.1,0.29,0.463,0.452,0.915
2021,강윤구,롯데,1.69,66.0,6.52,6.66,-0.25,-0.24,19.0,17.7,0.328,0.456,0.531,0.987
2021,박준표,KIA,0.84,69.0,5.86,6.29,-0.26,-0.28,11.4,10.8,0.326,0.436,0.481,0.917
2021,장원준,두산,0.48,64.8,6.39,7.05,-0.27,0.03,8.4,18.9,0.29,0.444,0.377,0.821
2021,이정현,KT,3.12,62.5,9.33,10.06,-0.27,-0.23,2.6,13.2,0.364,0.447,0.727,1.175
2021,김동혁,키움,0.55,66.2,5.0,5.4,-0.27,0.25,8.2,9.3,0.29,0.378,0.407,0.786
2021,김성민,키움,0.77,80.4,5.41,5.64,-0.27,1.11,16.5,16.1,0.251,0.393,0.363,0.755
2021,노경은,롯데,1.76,62.2,6.12,6.31,-0.27,-0.72,13.0,8.9,0.333,0.401,0.549,0.949
2021,구준범,삼성,9.0,31.2,21.33,22.9,-0.3,-0.27,8.3,25.0,0.25,0.5,1.0,1.5
2021,이재익,삼성,0.9,78.7,6.93,7.55,-0.31,-0.05,9.8,23.5,0.297,0.451,0.378,0.829
2021,김정인,키움,1.71,61.4,6.36,6.6,-0.31,-0.14,13.9,11.9,0.264,0.36,0.465,0.825
2021,이승관,한화,1.59,27.3,12.33,13.7,-0.33,-1.0,11.4,36.4,0.423,0.628,0.731,1.359
2021,최용준,KIA,4.26,60.8,11.39,11.87,-0.33,-0.38,15.4,17.9,0.355,0.487,0.839,1.326
2021,서덕원,KIA,1.93,54.7,5.94,5.98,-0.33,-0.47,16.2,9.5,0.277,0.342,0.515,0.858
2021,이민우,KIA,1.26,59.3,6.07,6.44,-0.34,-0.59,10.2,11.3,0.329,0.415,0.506,0.921
2021,이승진,두산,0.56,71.6,4.91,5.17,-0.34,0.72,13.3,14.8,0.238,0.357,0.308,0.666
2021,김이환,한화,0.69,65.2,6.33,6.9,-0.36,-0.15,9.8,16.7,0.308,0.443,0.413,0.856
2021,문경찬,NC,1.74,68.3,6.08,6.16,-0.37,-0.09,17.6,14.1,0.207,0.319,0.405,0.724
2021,최금강,NC,1.29,80.2,5.44,5.49,-0.39,0.2,19.4,13.2,0.274,0.375,0.443,0.818
2021,이보근,KT,3.27,51.0,8.33,8.49,-0.4,-0.94,13.2,10.3,0.467,0.522,0.733,1.256
2021,신정락,한화,1.35,49.0,6.28,6.58,-0.46,-1.31,13.7,14.7,0.333,0.439,0.56,0.999
2021,이승재,KIA,1.88,67.5,7.25,7.61,-0.46,-0.12,14.4,15.3,0.286,0.412,0.473,0.885
2021,정수민,SSG,1.78,70.9,7.12,7.46,-0.48,0.01,14.6,17.9,0.281,0.411,0.488,0.898
2021,김현수,KIA,1.58,62.5,6.99,7.42,-0.51,-0.24,11.8,15.7,0.305,0.423,0.519,0.942
2021,이영하,두산,1.03,64.1,5.68,5.94,-0.52,0.38,14.6,15.7,0.273,0.387,0.424,0.811
2021,김정빈,SSG,2.6,64.9,8.81,9.09,-0.53,-0.52,22.8,21.7,0.303,0.484,0.545,1.029
2021,이상영,LG,1.26,76.7,6.35,6.74,-0.65,0.54,13.2,14.0,0.259,0.389,0.416,0.806
2021,박진태,KIA,0.83,67.2,5.41,5.67,-0.65,-0.05,14.8,11.8,0.272,0.386,0.388,0.774
2021,이건욱,SSG,2.84,65.8,11.39,12.48,-0.67,-0.53,6.9,26.4,0.333,0.507,0.667,1.174
2021,장민기,KIA,0.39,78.5,6.25,6.67,-0.7,0.06,19.3,25.4,0.169,0.411,0.247,0.657
2021,김유신,KIA,1.82,62.6,6.94,7.32,-0.91,-0.67,11.6,14.1,0.3,0.402,0.524,0.925
