season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2026,62895,한유섬,SSG,SK,19,0.162,28,94,74,8,12,1,0,0,13,3,0,1,17,1,2,23,5,0.176,0.33,0.506,2,0.056,0.0,1,20,20,1.0,0,0.74,3.77,0.014,5.5,0.193
2026,79456,이지영,SSG,SK,20,0.159,26,51,44,5,7,3,0,0,10,4,0,1,6,0,0,4,1,0.227,0.255,0.482,0,0.182,0.5,3,22,12,1.83,0,1.5,3.8,0.068,3.0,0.172
2026,53893,김민준,SSG,SK,21,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,1,0,,0,0.0,5.0,0.0,-0.2,0.0
2026,53865,김정민,SSG,SK,21,0.0,10,5,4,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0.0,0.2,0.2,0,0.0,0.0,0,2,0,,0,0.5,3.4,0.0,0.1,0.09
2026,69825,김창평,SSG,SK,21,0.0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,3,1,3.0,0,0.0,5.2,0.0,-0.5,0.0
2026,73211,노경은,SSG,SK,21,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,50812,박시후,SSG,SK,21,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,52868,이기순,SSG,SK,21,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,53892,이로운,SSG,SK,21,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,52807,임근우,SSG,SK,21,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0,,2.0,0.0,-0.1,0.0
2026,52809,전영준,SSG,SK,21,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,51897,조병현,SSG,SK,21,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,53400,김재상,삼성,SS,1,0.364,6,13,11,1,4,0,0,0,4,1,1,0,1,0,0,4,0,0.364,0.417,0.781,1,0.286,0.0,0,3,0,,0,0.25,3.15,0.0,1.7,0.279
2026,72443,최형우,삼성,SS,2,0.343,41,183,143,24,49,8,0,7,78,29,0,3,34,2,3,16,5,0.545,0.47,1.015,13,0.263,0.0,15,34,47,0.72,1,2.13,4.01,0.203,35.9,0.348
2026,55425,김상준,삼성,SS,3,0.333,11,12,12,5,4,1,0,0,5,0,0,0,0,0,0,4,0,0.417,0.333,0.75,1,0.0,0.0,1,1,3,0.33,0,0.0,2.83,0.083,1.5,0.254
2026,62234,류지혁,삼성,SS,4,0.326,40,166,141,23,46,9,2,4,71,27,1,0,20,1,4,22,2,0.504,0.424,0.928,14,0.353,0.0,15,41,32,1.28,2,0.91,4.07,0.177,29.9,0.317
2026,62404,구자욱,삼성,SS,5,0.303,25,102,89,15,27,2,1,5,46,16,0,2,11,2,0,16,0,0.517,0.373,0.89,8,0.286,0.0,8,14,34,0.41,3,0.69,3.84,0.213,17.5,0.297
2026,69418,박승규,삼성,SS,6,0.3,29,130,110,23,33,4,2,5,56,17,0,1,16,0,3,16,1,0.509,0.4,0.909,7,0.257,0.0,11,27,35,0.77,3,1.0,3.89,0.209,23.3,0.307
2026,54400,디아즈,삼성,SS,7,0.296,42,188,162,26,48,6,0,5,69,32,0,3,23,1,0,26,6,0.426,0.378,0.804,13,0.315,0.0,11,38,53,0.72,3,0.88,3.88,0.13,26.2,0.277
2026,69442,김도환,삼성,SS,8,0.286,12,33,28,3,8,3,0,1,14,4,0,1,4,0,0,8,1,0.5,0.364,0.864,1,0.222,1.0,4,2,11,0.18,0,0.5,4.18,0.214,5.1,0.289
2026,61404,김헌곤,삼성,SS,9,0.274,33,65,62,2,17,1,1,0,20,4,0,1,2,0,0,10,2,0.323,0.292,0.615,5,0.231,0.143,2,18,18,1.0,0,0.2,3.29,0.048,4.8,0.212
2026,65586,전병우,삼성,SS,10,0.269,35,130,108,19,29,8,0,3,46,22,0,1,15,0,6,29,4,0.426,0.385,0.811,7,0.333,0.5,11,19,32,0.59,1,0.52,4.09,0.157,17.6,0.28
2026,67449,김성윤,삼성,SS,11,0.268,25,93,82,13,22,5,1,1,32,12,1,0,8,0,2,15,0,0.39,0.348,0.738,7,0.316,0.667,7,27,18,1.5,2,0.53,3.54,0.122,12.3,0.254
2026,50458,김지찬,삼성,SS,12,0.25,41,154,128,25,32,4,2,0,40,8,2,1,21,1,2,10,2,0.313,0.362,0.675,7,0.261,0.167,6,45,42,1.07,0,2.1,3.64,0.063,17.6,0.241
2026,74540,강민호,삼성,SS,13,0.23,32,99,87,5,20,5,0,1,28,15,0,0,11,0,1,28,1,0.322,0.323,0.645,5,0.333,0.333,6,17,22,0.77,1,0.39,4.29,0.092,8.9,0.226
2026,52415,이재현,삼성,SS,14,0.224,23,84,67,13,15,2,0,4,29,13,1,1,13,0,2,11,0,0.433,0.361,0.794,4,0.263,0.0,6,14,28,0.5,3,1.18,3.99,0.209,12.4,0.271
2026,69403,양우현,삼성,SS,15,0.222,25,53,45,6,10,1,0,1,14,3,1,1,6,0,0,11,0,0.311,0.308,0.619,2,0.1,0.25,2,13,12,1.08,1,0.55,3.66,0.089,5.4,0.216
2026,65040,김태훈,삼성,SS,16,0.2,2,6,5,0,1,1,0,0,2,0,0,0,1,0,0,1,1,0.4,0.333,0.733,0,0.0,0.0,1,1,2,0.5,0,1.0,3.5,0.2,0.3,0.25
2026,62244,박세혁,삼성,SS,17,0.171,23,39,35,5,6,1,0,0,7,0,0,0,4,0,0,9,0,0.2,0.256,0.456,0,0.0,0.0,1,11,9,1.22,0,0.44,3.87,0.029,1.9,0.165
2026,52430,김영웅,삼성,SS,18,0.171,10,43,41,2,7,2,0,0,9,3,0,0,2,0,0,14,0,0.22,0.209,0.429,2,0.167,0.0,2,9,11,0.82,1,0.14,4.0,0.049,1.4,0.149
2026,52424,김재혁,삼성,SS,19,0.167,10,6,6,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0.167,0.167,0.334,0,0.0,0.0,0,2,1,2.0,0,0.0,5.17,0.0,0.0,0.117
2026,63202,장승현,삼성,SS,20,0.143,12,9,7,1,1,0,0,0,1,0,0,0,1,0,1,2,1,0.143,0.333,0.476,0,0.0,0.0,0,1,3,0.33,0,0.5,4.56,0.0,0.3,0.186
2026,55438,심재훈,삼성,SS,21,0.125,9,8,8,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.125,0.125,0.25,0,0.0,0.0,0,6,0,,0,0.0,3.5,0.0,-0.1,0.088
2026,67005,홍현빈,삼성,SS,21,0.125,9,8,8,1,1,0,0,0,1,1,0,0,0,0,0,3,1,0.125,0.125,0.25,0,0.25,0.0,0,2,2,1.0,0,0.0,3.0,0.0,-0.5,0.088
2026,64468,박계범,삼성,SS,23,0.111,7,19,18,1,2,0,0,0,2,0,0,0,1,0,0,9,1,0.111,0.158,0.269,1,0.0,0.0,0,6,1,6.0,0,0.11,3.21,0.0,-0.5,0.099
2026,66409,이성규,삼성,SS,23,0.111,12,17,9,6,1,0,0,0,1,0,2,0,6,0,0,6,0,0.111,0.467,0.578,0,0.0,0.0,0,1,1,1.0,0,1.0,4.47,0.0,1.9,0.238
2026,55440,함수호,삼성,SS,25,0.063,11,18,16,0,1,0,0,0,1,2,0,0,2,0,0,5,0,0.063,0.167,0.23,0,0.167,0.2,0,8,2,4.0,0,0.4,3.61,0.0,-0.2,0.091
2026,65062,김재윤,삼성,SS,26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,68463,윤정빈,삼성,SS,26,0.0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0.0,4.67,0.0,-0.3,0.0
2026,60146,이승현,삼성,SS,26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,69416,이해승,삼성,SS,26,0.0,18,15,13,0,0,0,0,0,0,1,1,0,1,0,0,6,0,0.0,0.071,0.071,0,0.0,0.0,0,3,4,0.75,1,0.17,4.47,0.0,-0.8,0.032
2026,55435,차승준,삼성,SS,26,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0.0,6.0,0.0,-0.1,0.0
2026,63260,이우성,NC,NC,1,0.356,39,144,135,15,48,10,0,4,70,12,1,0,8,0,0,20,4,0.519,0.392,0.911,15,0.219,0.0,14,41,26,1.58,0,0.4,3.67,0.163,23.1,0.306
2026,62907,박민우,NC,NC,2,0.319,40,172,144,27,46,11,0,1,60,28,0,1,22,0,5,20,3,0.417,0.424,0.841,14,0.488,0.0,12,35,44,0.8,2,1.1,3.84,0.097,28.1,0.295
2026,64101,한석현,NC,NC,3,0.313,35,91,80,9,25,2,0,1,30,13,4,1,4,0,2,15,1,0.375,0.356,0.731,5,0.333,0.5,3,25,16,1.56,2,0.27,3.33,0.063,11.2,0.254
2026,51907,김주원,NC,NC,4,0.289,42,186,159,23,46,6,0,7,73,17,1,2,18,0,6,27,0,0.459,0.378,0.837,12,0.211,0.0,13,34,54,0.63,3,0.67,3.98,0.17,31.3,0.285
2026,51344,김휘집,NC,NC,5,0.288,16,61,52,4,15,2,0,0,17,11,0,0,4,0,5,10,1,0.327,0.393,0.72,5,0.4,0.0,2,10,17,0.59,3,0.4,3.9,0.038,6.8,0.259
2026,68904,오영수,NC,NC,6,0.286,20,42,35,5,10,0,0,2,16,3,0,0,5,0,2,12,2,0.457,0.405,0.862,2,0.091,0.125,2,10,3,3.33,0,0.42,3.88,0.171,6.2,0.297
2026,50902,김한별,NC,NC,7,0.273,20,54,44,12,12,5,0,0,17,4,0,0,10,0,0,9,2,0.386,0.407,0.793,3,0.333,0.0,5,16,7,2.29,0,1.11,4.13,0.114,6.8,0.28
2026,54944,데이비슨,NC,NC,8,0.272,32,128,114,14,31,7,0,5,53,19,0,1,6,0,7,27,2,0.465,0.344,0.809,6,0.333,0.0,12,22,35,0.63,2,0.22,3.81,0.193,18.3,0.271
2026,79215,박건우,NC,NC,9,0.259,42,164,135,19,35,7,0,8,66,26,0,4,25,4,0,34,2,0.489,0.366,0.855,9,0.278,0.0,15,29,41,0.71,3,0.74,3.57,0.23,26.4,0.287
2026,64022,안중열,NC,NC,10,0.256,20,45,39,5,10,1,0,1,14,6,1,1,2,0,2,7,3,0.359,0.318,0.677,2,0.375,0.333,2,11,12,0.92,2,0.29,3.36,0.103,4.2,0.233
2026,69992,최정원,NC,NC,11,0.256,38,107,90,16,23,2,0,0,25,4,6,0,7,0,4,19,1,0.278,0.337,0.615,6,0.227,0.5,2,30,18,1.67,0,0.37,3.92,0.022,10.2,0.221
2026,50092,윤준혁,NC,NC,12,0.25,3,4,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.5,0.25,0.75,0,0.0,0.0,1,1,2,0.5,0,,2.5,0.25,0.5,0.238
2026,56904,허윤,NC,NC,12,0.25,16,5,4,4,1,0,0,0,1,1,0,0,1,0,0,2,0,0.25,0.4,0.65,0,0.5,0.0,0,0,1,0.0,0,0.5,4.0,0.0,1.3,0.243
2026,69995,서호철,NC,NC,14,0.217,27,79,69,12,15,2,0,1,20,7,3,0,7,0,0,18,1,0.29,0.289,0.579,4,0.25,0.5,3,20,16,1.25,0,0.39,3.78,0.072,6.2,0.203
2026,67905,천재환,NC,NC,15,0.204,29,55,49,10,10,3,0,2,19,4,1,0,4,0,1,10,0,0.388,0.278,0.666,2,0.1,0.0,5,17,12,1.42,0,0.4,3.85,0.184,5.1,0.222
2026,68912,김형준,NC,NC,16,0.2,37,118,105,8,21,2,0,2,29,16,0,0,10,0,3,46,3,0.276,0.288,0.564,3,0.214,0.0,4,17,21,0.81,0,0.22,4.1,0.076,8.2,0.199
